EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
4.4345855712890625e-05,0,1,INITIAL_BUFFERING,Writing,45226
0.0013740062713623047,0,1,PLAY,InitialBuffering-Play,0
0.001592397689819336,0,0,PLAY,StillPlaying,45226
0.12343096733093262,0,1,PLAY,Writing,45226
0.38828158378601074,0,2,PLAY,Writing,45226
0.6019134521484375,0,3,PLAY,Writing,45226
0.785973310470581,0,4,PLAY,Writing,45226
0.9672017097473145,0,5,PLAY,Writing,45226
1.1626360416412354,1,6,PLAY,Writing,45226
1.3689124584197998,1,7,PLAY,Writing,45226
1.5990407466888428,1,8,PLAY,Writing,45226
2.0218894481658936,2,9,PLAY,Writing,88783
2.5178723335266113,2,10,PLAY,Writing,88783
3.1560511589050293,3,11,PLAY,Writing,128503
3.7944467067718506,3,12,PLAY,Writing,128503
4.001809120178223,4,11,PLAY,StillPlaying,45226
4.458002090454102,4,12,PLAY,Writing,128503
5.092238187789917,5,13,PLAY,Writing,128503
5.78501033782959,5,14,PLAY,Writing,177437
6.554369211196899,6,15,PLAY,Writing,177437
7.480014801025391,7,16,PLAY,Writing,217761
8.001856803894043,8,15,PLAY,StillPlaying,45226
8.340722799301147,8,16,PLAY,Writing,217761
9.246047496795654,9,17,PLAY,Writing,217761
10.319859504699707,10,18,PLAY,Writing,217761
11.593835592269897,11,19,PLAY,Writing,255865
12.001819610595703,12,18,PLAY,StillPlaying,45226
12.503339529037476,12,19,PLAY,Writing,255865
13.469150066375732,13,20,PLAY,Writing,255865
14.311861991882324,14,21,PLAY,Writing,323047
15.26125979423523,15,22,PLAY,Writing,323047
16.001832723617554,16,21,PLAY,StillPlaying,45226
16.46366000175476,16,22,PLAY,Writing,323047
17.84952163696289,17,23,PLAY,Writing,323047
19.057270288467407,19,24,PLAY,Writing,378355
20.00182032585144,20,23,PLAY,StillPlaying,45226
20.847036600112915,20,24,PLAY,Writing,378355
22.80095911026001,22,25,PLAY,Writing,378355
24.00182318687439,24,24,PLAY,StillPlaying,45226
25.209912538528442,25,25,PLAY,Writing,509091
27.435972452163696,27,26,PLAY,Writing,509091
28.00181531906128,28,25,PLAY,StillPlaying,45226
29.86305570602417,29,26,PLAY,Writing,509091
32.00189280509949,32,25,PLAY,StillPlaying,45226
32.31056499481201,32,26,PLAY,Writing,509091
34.7614541053772,34,27,PLAY,Writing,509091
36.00189018249512,36,26,PLAY,StillPlaying,88783
37.27776741981506,37,27,PLAY,Writing,509091
39.424254179000854,39,28,PLAY,Writing,509091
40.00183320045471,40,27,PLAY,StillPlaying,88783
42.079283237457275,42,28,PLAY,Writing,577751
44.00196886062622,44,27,PLAY,StillPlaying,128503
44.75349998474121,44,28,PLAY,Writing,577751
46.54586839675903,46,29,PLAY,Writing,577751
48.00185704231262,48,28,PLAY,StillPlaying,128503
49.01907968521118,49,29,PLAY,Writing,577751
51.22885298728943,51,30,PLAY,Writing,577751
52.00184392929077,52,29,PLAY,StillPlaying,128503
54.21672868728638,54,30,PLAY,Writing,782553
56.00182580947876,56,29,PLAY,StillPlaying,128503
57.12490677833557,57,30,PLAY,Writing,782553
60.0018253326416,60,29,PLAY,StillPlaying,177437
60.6609251499176,60,30,PLAY,Writing,782553
64.001877784729,64,29,PLAY,StillPlaying,177437
64.1970419883728,64,30,PLAY,Writing,782553
67.90768694877625,67,31,PLAY,Writing,782553
68.00180983543396,68,30,PLAY,StillPlaying,217761
70.58698272705078,70,31,PLAY,Writing,782553
72.00192856788635,72,30,PLAY,StillPlaying,217761
73.88911414146423,73,31,PLAY,Writing,782553
76.00182461738586,76,30,PLAY,StillPlaying,217761
76.61899590492249,76,31,PLAY,Writing,782553
79.97890710830688,79,32,PLAY,Writing,782553
80.00190544128418,80,31,PLAY,StillPlaying,217761
83.12882161140442,83,32,PLAY,Writing,782553
84.00183534622192,84,31,PLAY,StillPlaying,255865
86.73915505409241,86,32,PLAY,Writing,782553
88.00193762779236,88,31,PLAY,StillPlaying,255865
90.3397626876831,90,32,PLAY,Writing,782553
92.00185751914978,92,31,PLAY,StillPlaying,255865
93.90041828155518,93,32,PLAY,Writing,782553
96.00186896324158,96,31,PLAY,StillPlaying,323047
96.53534150123596,96,32,PLAY,Writing,782553
99.44557905197144,99,33,PLAY,Writing,782553
100.0018630027771,100,32,PLAY,StillPlaying,323047
103.45607113838196,103,33,PLAY,Writing,1008699
104.00184559822083,104,32,PLAY,StillPlaying,323047
107.3434829711914,107,33,PLAY,Writing,1008699
108.00187063217163,108,32,PLAY,StillPlaying,323047
111.35008645057678,111,33,PLAY,Writing,1008699
112.00185227394104,112,32,PLAY,StillPlaying,378355
115.65123152732849,115,33,PLAY,Writing,1008699
116.00188374519348,116,32,PLAY,StillPlaying,378355
120.00187158584595,120,31,PLAY,StillPlaying,378355
120.24320888519287,120,32,PLAY,Writing,1008699
123.63420128822327,123,33,PLAY,Writing,782553
124.0018560886383,124,32,PLAY,StillPlaying,509091
128.0018138885498,128,31,PLAY,StillPlaying,509091
128.2210304737091,128,32,PLAY,Writing,1008699
131.45317316055298,131,33,PLAY,Writing,782553
132.0018584728241,132,32,PLAY,StillPlaying,509091
135.30833172798157,135,33,PLAY,Writing,1008699
136.00179958343506,136,32,PLAY,StillPlaying,509091
139.56166815757751,139,33,PLAY,Writing,1008699
140.0018334388733,140,32,PLAY,StillPlaying,509091
144.0018904209137,144,31,PLAY,StillPlaying,509091
144.26271843910217,144,32,PLAY,Writing,1008699
147.86260890960693,147,33,PLAY,Writing,782553
148.0019190311432,148,32,PLAY,StillPlaying,509091
152.0018811225891,152,31,PLAY,StillPlaying,577751
152.2870364189148,152,32,PLAY,Writing,1008699
155.58815217018127,155,33,PLAY,Writing,782553
156.00184392929077,156,32,PLAY,StillPlaying,577751
159.69367599487305,159,33,PLAY,Writing,1008699
160.00184869766235,160,32,PLAY,StillPlaying,577751
163.32191514968872,163,33,PLAY,Writing,1008699
164.0018527507782,164,32,PLAY,StillPlaying,577751
167.97951817512512,167,33,PLAY,Writing,1008699
168.00185346603394,168,32,PLAY,StillPlaying,577751
171.1292941570282,171,33,PLAY,Writing,782553
172.00185012817383,172,32,PLAY,StillPlaying,782553
174.66257095336914,174,33,PLAY,Writing,1008699
176.00187802314758,176,32,PLAY,StillPlaying,782553
179.07806181907654,179,33,PLAY,Writing,1008699
180.00185465812683,180,32,PLAY,StillPlaying,782553
183.2476933002472,183,33,PLAY,Writing,1008699
184.0018584728241,184,32,PLAY,StillPlaying,782553
188.00180506706238,188,31,PLAY,StillPlaying,782553
188.30735206604004,188,32,PLAY,Writing,1008699
191.55991625785828,191,33,PLAY,Writing,782553
192.00185799598694,192,32,PLAY,StillPlaying,782553
195.87830471992493,195,33,PLAY,Writing,1008699
196.00184559822083,196,32,PLAY,StillPlaying,782553
200.0018186569214,200,31,PLAY,StillPlaying,782553
200.54290199279785,200,32,PLAY,Writing,1008699
204.00186705589294,204,31,PLAY,StillPlaying,782553
204.13282179832458,204,32,PLAY,Writing,782553
207.7660892009735,207,33,PLAY,Writing,782553
208.0018503665924,208,32,PLAY,StillPlaying,782553
210.66435027122498,210,33,PLAY,Writing,1008699
212.00187826156616,212,32,PLAY,StillPlaying,782553
214.86126136779785,214,33,PLAY,Writing,1008699
216.00185441970825,216,32,PLAY,StillPlaying,782553
219.88626050949097,219,33,PLAY,Writing,1008699
220.001850605011,220,32,PLAY,StillPlaying,782553
224.00192403793335,224,31,PLAY,StillPlaying,782553
224.8763599395752,224,32,PLAY,Writing,1008699
